NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT02543879,Study of a Novel BET Inhibitor FT-1101 in Patients With Relapsed or Refractory Hematologic Malignancies,https://clinicaltrials.gov/study/NCT02543879,,COMPLETED,"This is an open-label, multicenter, dose-escalation Phase 1/1b study in patients with acute myelogenous leukemia (AML)/MDS or non-Hodgkin Lymphoma (NHL), intended to investigate safety, pharmacokinetics, and the pharmacodynamic effects of FT-1101 administered via one or more intermittent dosing schedules alone and in combination with azacitidine. Once the MTD has been established for a treatment cohort, up to 20 additional patients may be enrolled in up to 4 expansion cohorts each of select populations of patients with either AML/MDS or NHL at the recommended dose for future studies to confirm safety.",NO,Acute Myeloid Leukemia|Acute Myelogenous Leukemia|Myelodysplastic Syndrome|Non-Hodgkin Lymphoma,DRUG: FT-1101|DRUG: Azacitidine,"Maximum Tolerated Dose (MTD), Within first 4 weeks of treatment|Dose Limiting Toxicities (DLT), Within first 4 weeks of treatment|Recommended Phase 2 Dose (RP2D), Participants to be followed for duration of participation, an expected average of 12 weeks","Area under the plasma concentration versus time curve (AUC), PK collected at multiple visits during the first 30 days of treatment|Peak Plasma Concentration (Cmax), PK collected at multiple visits during the first 30 days of treatment|Time of peak plasma concentration (TMax), PK collected at multiple visits during the first 30 days of treatment|Time for half of the drug to be absent in blood stream following dose (T 1/2), PK collected at multiple visits during the first 30 days of treatment|Rate at which drug is removed from blood stream (CL/F), PK collected at multiple visits during the first 30 days of treatment|Rate of drug distribution within the blood stream (Vd/F), PK collected at multiple visits during the first 30 days of treatment|Observe patients for any evidence of anti-leukemic or anti-myelodysplastic activity of FT-1101, Assessed for duration of participation, an expected average of 12 weeks","Forma Therapeutics, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE1,94,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2015-09,2019-03,2019-03,2015-09-07,,2023-11-21,"Cedars Sinai, Los Angeles, California, 90048, United States|Florida Cancer Specialists, Sarasota, Florida, 34232, United States|Moffitt Cancer Center, Tampa, Florida, 23985, United States|Northwestern University, Chicago, Illinois, 60611, United States|University of Maryland, Greenebaum Comprehensive Cancer Center, Baltimore, Maryland, 21201, United States|Levine Cancer Institute, Charlotte, North Carolina, 28204, United States|Sarah Cannon Research Institute, Nashville, Tennessee, 37203, United States|MD Anderson Cancer Center, Houston, Texas, 77030, United States",
NCT05315479,Safety and Pharmacokinetics of N1539 in Children 2 to <17 Years of Age Following Surgery,https://clinicaltrials.gov/study/NCT05315479,,TERMINATED,"This study is an open-label, multicenter evaluation of Safety and Pharmacokinetics of N1539 in postoperative Pediatric subjects aged 2 to \<17 years.",YES,Post Operative Pain,DRUG: N1539,"Number of Subjects Experiencing an AE, Number of study subjects who experienced an AE, Through study completion, approximately 28 Days",,Baudax Bio,,ALL,CHILD,PHASE4,19,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-02-24,2022-07-07,2022-07-07,2022-04-07,2023-09-13,2023-09-13,"Research Center, Sheffield, Alabama, 35660, United States|Research Center, Bakersfield, California, 93301, United States|Research Center, Salt Lake City, Utah, 84107, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/79/NCT05315479/Prot_SAP_002.pdf"
NCT06117579,Effect of Inspiratory Muscle Training in Obstructive Sleep Apnea Syndrome.,https://clinicaltrials.gov/study/NCT06117579,NOCTURNE,NOT_YET_RECRUITING,"Sleep apnea-hypopnea syndrome is a sleep-related respiratory disorder characterized by partial or total interruptions in breathing during sleep. The majority of syndromes involve an obstructive mechanism (OSA), caused by a reduction in the caliber of the upper airway (UA), most often associated with hypotonia of the surrounding muscles, preventing air from entering the UA during inspiration (1). The clinical consequences of this syndrome are excessive fatigue and daytime sleepiness, which have a negative impact on the quality of life of patients. (2,3) Despite the positive results on apnea-hypopnea index and daytime sleepiness of continuous positive airway pressure (today's reference treatment), its 3-year compliance rate (i.e 59.9% according to a study by Abdelghani et al (4) points to the need to develop other associated therapies.

Several studies have demonstrated the efficacy of physiotherapy, such as physical activity and oro-pharyngeal muscle strengthening, notably on the apnea-hypopnea index and daytime sleepiness measured by the Epworth scale (5,6).

Few studies have investigated the effect of inspiratory muscle training (IMT), even though the use of the inspiratory musculature (i.e. the diaphragm) is a means of supplementing the peri-pharyngeal muscles, as it helps to maintain the permeability of the upper airways (7-9). Inspiratory muscle training (IMT) could therefore be considered as part of the physiotherapeutic management of the OSA. The heterogeneity of current results concerning IMT in OSA , but above all the lack of evidence that it is dangerous, means that new clinical studies could be carried out in an attempt to demonstrate its efficacy. Our research hypothesis is therefore as follows: Implementing an inspiratory muscle strengthening protocol in patients suffering from OSA can reduce daytime sleepiness.",NO,Obstructive Sleep Apnea of Adult,OTHER: Inspiratory muscle training,"Change in Daytime sleepiness, Change in daytime sleepiness measured by the Epworth Sleepiness Scale following the introduction of IMT combined with CPAP Epworth Sleepiness Scale ranged from 0 (it is unlikely that you are abnormally sleepy) to 24 (you are excessively sleepy and should consider seeking medical attention)., 12 weeks",,Centre Hospitalier Régional d'Orléans,,ALL,"ADULT, OLDER_ADULT",NA,58,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2024-05,2025-12-01,2026-01-01,2023-11-07,,2024-04-19,"Chu Orleans, Orléans, France",
NCT06143579,A Study of HAIC Combined With Lenvatinib and Envolizumab in Potentially Resectable Hepatocellular Carcinoma,https://clinicaltrials.gov/study/NCT06143579,,NOT_YET_RECRUITING,"This is a single term, open label, single Center, Phase II Trial. The study is to explore the efficacy and safety of FOLFOX-HAIC combined with Lenvatinib and Envolizumab in the treatment of patients with potentially resectable HCC.",NO,Potentially Resectable Hepatocellular Carcinoma,DRUG: FOLFOX-HAIC+Lenvatinib+Envolizumab,"AEs, Defined as the proportion of patients with AE, treatment-related AE (TRAE), immune-related AE (irAE), serious adverse event (SAE), assessed by NCI CTCAE v5.0, Up to 60 days after last treatment or 30 days after surgery|Overall response rate (ORR), Defined as proportion of patients who have a best response of CR or PR, At the end of Cycle 4 (each cycle is 21 days)","Pathological complete response (pCR), According to post-operative pathology, the proportion of tumor necrosis, viable. tumor cells, and tumor infiltrating lymphocytes indicated by surgical resected specimens., At the end of the surgery|Major Pathological Response(MPR), Survival tumor ≤10% after surgery, At the end of the surgery|R0 resection rate, The tumor was completely removed during surgery, and the resection margin was negative when observed microscopically without residual components of the tumor, At the end of the surgery|1-year recurrence-free survival(RFS) rate, Subjects underwent radical resection from the start until the date of the first documented tumor into recurrence or death from any cause in, whichever occurred first within 1 year after surgery, Up to one years|Recurrence-free survival(RFS), Subjects underwent radical resection from the start until the date of the first documented tumor into recurrence or death from any cause, whichever occurred first, Up to two years|Overall survival (OS), Defined as the time from enrollment to death from any cause, Up to two years",Sun Yat-sen University,,ALL,"ADULT, OLDER_ADULT",PHASE2,48,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-12-15,2025-03-03,2026-12-31,2023-11-22,,2023-11-22,,
NCT01117779,Tracking Renal Tumors After Cryoablation Evaluation,https://clinicaltrials.gov/study/NCT01117779,TRACE,TERMINATED,"TRACE is an observational, open-label, single-arm, multi-center registry of subjects who have undergone renal lesion cryoablation per their physician's standard of care. Patients 18 years of age or older who have been determined to be an appropriate candidate for cryoablation will be offered enrollment into the registry. Subjects will be observed for five years from the date of their cryoablation procedure.",YES,Kidney Neoplasms,DEVICE: Cryoablation,"Changes in Lesion Size, Changes to lesion size using greatest trans-axial diameter (cm) from baseline through the follow-up intervals., Baseline and months 6, 12, 24, 36, 48 and 60|Renal Function Status, Determined by the estimated Median Glomerular Filtration Rate (eGFR) measure using mL/min, Baseline and months 6, 12, 24, 36, 48 and 60|Hospital Stay, Length of time in hospital is the duration of the patient's in-hospital time measured in hours, from intervention to discharge with the average duration of hospitalization being 2 days but could be much longer., Average duration of 2 days or longer|Post-cryoablation Lesion Recurrence With Enhancement, Lesions with imaging that showed contrast enhancement based on investigator assessment., Months 6, 12, 24, 36, 48 and 60|Disease-specific Survival Rates, Disease-specific survival rate is the time in days from cryoprocedure to death due to kidney cancer. Subjects who are alive will be censored at date of their last visit. Subjects who have died from causes other than kidney cancer will be censored at the time of death. Patients are followed up for duration of registry which is 5 years., Month 60|Overall Survival Rates, Death due to any cause, Month 60|Quality of Life Assessment, QoL SF12 is a health status survey to monitor outcomes in general and specific populations. Scoring system for the SF12 is norm-based scoring (NBS). This rescaling is done by linear transformation.The scale for each component is provided where the min = worst health and max= best health. Scale range (min-max,range): GH 23.9-63.7,39.8; PF 25.6-57.1,31.5 ; RP 23.6-57.5, 33.9; BP 21.7-57.7,36.1; VT 29.4-68.7, 39.4; SF 21.3-56.9,35.6; RE 14.7-56.3,41.6; HM 18.3-64.2,45.9; PCS 9.9-76,66 MCS 3.2-77.9,74.7, Months 6 and 12|Development of Metastatic Disease., Time between cryotherapy and first evidence of metastatic disease, Month 60|Total Number of Recurrences, Total recurrences based on imaging with enhancement and retreatments (eg: nephrectomy, partial nephrectomy or ablation)., Month 60","Procedure Method Outcomes, An assessment of outcomes across laparoscopic-assisted, percutaneous and open cryoablation procedures., During the procedure and immediately after it, an average of 2 hours.|Standard of Care Follow-up Procedures, Characterization of standards of care for cryoablation procedure follow-up across the participating registry centers., These outcomes are measured at each follow-up visit out to 5 years post-cryo procedure",Boston Scientific Corporation,,ALL,"ADULT, OLDER_ADULT",,246,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2010-07-09,2020-11-24,2020-11-24,2010-05-05,2024-01-19,2024-01-19,"University of California Irvine, Orange, California, 92868, United States|Kaiser Permanente, Denver, Colorado, 80205, United States|University of Kentucky, Lexington, Kentucky, 40536, United States|University of Nebraska Medical Center, Omaha, Nebraska, 68198, United States|Columbia University, New York, New York, 10032, United States|Medical University of South Carolina, Charleston, South Carolina, 29425, United States|Vanderbilt University, Nashville, Tennessee, 37232, United States","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/79/NCT01117779/Prot_000.pdf|Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/79/NCT01117779/SAP_001.pdf"
NCT02337179,Male Circumcision Services for HIV Prevention in the Dominican Republic,https://clinicaltrials.gov/study/NCT02337179,,COMPLETED,The purpose of this study is to determine the feasibility of introducing voluntary medical male circumcision as a form of HIV prevention in high HIV prevalence areas in the Dominican Republic.,NO,"Circumcision, Male|HIV|AIDS",PROCEDURE: Voluntary medical male circumcision,"Number and percentage of participants who agreed to undergo circumcision after being offered., 13 months","Number and percentage of adverse events by severity (mild, moderate, severe), 23 months|Number and percentage of individuals who use illicit drugs, 23 months|Number and percentage of men who have sex with men, 23 months|Number and percentage of individuals who had ≥ 2 sex partners over the last 30 days, 23 months|Number and percentage of individuals who experienced problems with penis and foreskin prior to circumcision, 23 months",University of Illinois at Chicago,Instituto Dermatologico y Cirugia de Piel,MALE,ADULT,NA,539,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: PREVENTION,2011-02,2014-06,2017-04-01,2015-01-13,,2017-05-02,"University of Illinois at Chicago, Chicago, Illinois, 60612, United States|Instituto Dermatologico y Cirugia de Piel, Santo Domingo, Dominican Republic",
NCT04024579,Treatment of Actinic Keratosis With 5% KOH Solution,https://clinicaltrials.gov/study/NCT04024579,TAKKOH,COMPLETED,"This is a prospective single-arm multicenter medical device study to investigate the clinical efficacy and safety of the treatment of actinic keratosis with a 5% potassium hydroxide solution.

In total, 68 patients with actinic keratosis grade I/II, who meet all inclusion criteria and do not meet none of the exclusion criteria are to be enrolled and topically treated twice daily for up to 3 cycles of 14 days of treatment followed by 14 non-treatment days.

The primary objective is treatment success at the individual end-of-treatment visit of all AK lesions present at baseline and treated with the investigational product.

Beside this, adverse events will be collected at each visit and evaluated in order to investigate clinical safety.",NO,Actinic Keratoses,,"Efficacy (Patients with treatment success): defined as dermatoscopically confirmed complete remission of all AK lesions by the investigator, Treatment success (yes, no) at the individual end-of-treatment visit (VE), defined as dermatoscopically confirmed complete remission of all AK lesions by the investigator, which were present at V0 and treated with the investigational product (complete clearance)., Visit 14 days after EOT (End of treatment); up to 12 weeks depending treatment cycles nessesary",,Infectopharm Arzneimittel GmbH,Gesellschaft für Therapieforschung mbH,ALL,"ADULT, OLDER_ADULT",,73,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,2017-10-17,2019-08-25,2019-08-25,2019-07-18,,2019-10-22,"Dermatologisches Zentrum, Bonn, 53111, Germany|Hautzentrum Dülmen, Dülmen, 48249, Germany|Hautärztliche Praxis, Friedrichshafen, 88045, Germany|Hautzentrum Nymphenburg, München, 80639, Germany|Haut- und Laserzentrum Potsdam, Potsdam, 14469, Germany|Hautarzt-Praxis, Stuttgart, 70190, Germany",
NCT01128179,Effects of Lanthanum Carbonate on FGF-23 in Subjects With Stage 3 CKD,https://clinicaltrials.gov/study/NCT01128179,,COMPLETED,To assess the effects of 12 weeks of treatment with lanthanum carbonate compared with placebo on serum intact Fibroblast Growth Factor 23 (FGF23) levels.,YES,Chronic Kidney Disease,DRUG: Lanthanum carbonate|DRUG: Placebo,"Natural Logarithm Transformed Serum Intact Fibroblast Growth Factor (FGF-23) Levels at Week 12 Last Observation Carried Forward (LOCF), FGF-23 plays an important role in mineral metabolism in chronic kidney disease patients. It is secreted by bone cells in response to hyperphosphatemia. It acts to decrease renal phosphate reabsorption. Administration of a phosphate-binder (i.e. lanthanum carbonate) was expected to produce a reduction in FGF-23 levels., 12 Weeks","Change From Baseline in Serum Intact Parathyroid Hormone (iPTH) Values at Week 12 (LOCF), 12 Weeks|Change From Baseline in 1,25-Dihydroxy Vitamin D Values at Week 12 (LOCF), 12 weeks|Change From Baseline in Urinary Fractional Excretion of Phosphate Values at Week 12 (LOCF), 12 weeks|Change From Baseline in Serum Phosphate Values at Week 12 (LOCF), 12 weeks|Change From Baseline in Serum Total Calcium Values at Week 12 (LOCF), 12 weeks|Change From Baseline in Calcium-Phosphate Product Values at Week 12 (LOCF), 12 weeks",Shire,,ALL,"ADULT, OLDER_ADULT",PHASE2,35,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",2010-12-06,2012-04-16,2012-04-16,2010-05-21,2013-05-22,2021-06-09,"Dr Pablo Urena Torres, Saint Ouen, Paris, 93400, France",
NCT05695079,Efficacy of Electric Fans for Mitigating Thermal Strain in Older Adults During Heat Waves,https://clinicaltrials.gov/study/NCT05695079,,COMPLETED,"With the increasing regularity and intensity of hot weather and heat waves, there is an urgent need to develop heat-alleviation strategies able to provide targeted protection for heat-vulnerable older adults. While air-conditioning provides the most effective protection from extreme heat, it is inaccessible for many individuals. Air-conditioning is also energy intensive, which can strain the electrical grid and, depending on the source of electricity generation, contribute to increasing green house gas emissions. For these reasons, recent guidance has advocated the use of electric fans as a simple and sustainable alternative to air-conditioning. To date, however, only one study has assessed the efficacy of fan use in older adults and demonstrated that fans accelerate increases in body temperature and heart rate in a short-duration (\~2 hours) resting exposure to 42°C with increasing ambient humidity from 30-70%. While subsequent modelling has suggested that fans can improve heat loss via sweat evaporation in healthy older adults at air temperatures up to 38°C, there is currently no empirical data to support these claims. Further, that work assumed older adults were seated in front of a pedestal fan generating an airflow of 3·5-4·5 m/s at the front of the body. This airflow cannot be attained by most marketed pedestal fans. Studies are therefore needed to evaluate the efficacy of fans for preventing hyperthermia and the associated physiological burden in older adults in air temperatures below 38°C and determine whether the cooling effect of fans, if any, is evident at lower rates of airflow.

To address these knowledge gaps, this randomized crossover trial will evaluate body core temperature, cardiovascular strain, dehydration, and thermal comfort in adults aged 65-85 years exposed for 8 hours to conditions experienced during hot weather and heat waves in North America simulated using a climate chamber (36°C, 45% relative humidity). Each participant will complete three randomized exposures that will differ only in the airflow generated at the front of the body via an electric pedestal fan: no airflow (control), low airflow (\~2 m/s), and high airflow (\~4 m/s). While participants will spend most of the 8-hour exposure seated in front of the fan, they will also complete 4 x 10 min periods of 'activities of daily living' (\~2-2.5 METS, light stepping) at \~2 hour intervals to more accurately reflect activity patterns in the home.",NO,Hyperthermia|Weather; Heat|Heat Stress|Aging,OTHER: No cooling (control)|OTHER: Electric fan (low airflow)|OTHER: Electric fan (high airflow),"Core temperature (peak), Peak rectal temperature (15 min average) during exposure. Rectal temperature is measured continuously throughout each simulated heat wave., End of heat exposure (hour 8)","Core temperature (AUC), Area under the curve of rectal temperature (in degree-hours)., End of heat exposure (hour 8)|Core temperature (end-exposure), Rectal temperature measured at hour 8 of the simulated heat wave exposure (15-min average), End of heat exposure (hour 8)|Heart rate (peak), Peak heart rate (15 min average) during exposure. Heart rate is measured continuously via 3-lead ECG throughout each simulated heat wave, End of heat exposure (hour 8)|Heart rate (AUC), Area under the curve of rectal temperature (total beats)., End of heat exposure (hour 8)|Heart rate (end-exposure), Heart rate measured at hour 8 of the simulated heat wave exposure via 3-lead ECG (15-min average), End of heat exposure (hour 8)|Systolic blood pressure (end-exposure), Systolic blood pressure measured in triplicate via automated oscillometry (\~60 seconds between measures), End of heat exposure (hour 8)|Diastolic blood pressure (end-exposure), Diastolic blood pressure measured in triplicate via automated oscillometry (\~60 seconds between measures), End of heat exposure (hour 8)|Rate pressure product (end-exposure), Rate pressure product, an index of myocardial work and strain, calculated as systolic blood pressure x heart rate., End of heat exposure (hour 8)|Heart rate variability: SDNN (end-exposure), Standard deviation of normal-to-normal RR intervals (SDNN) measured during 5 minutes of paced breathing (15 breaths/min) with participants in the seated position. SDNN will be evaluated twice, during two paced breathing periods (separated by 4 min of seated rest)., End of heat exposure (hour 8)|Heart rate variability: RMSSD (end-exposure), Root mean squared standard deviation of normal-to-normal RR intervals (RMSSD) measured during 5 minutes of paced breathing (15 breaths/min) with participants in the seated position. RMSSD will be evaluated twice, during two paced breathing periods (separated by 4 min of seated rest)., End of heat exposure (hour 8)|Fluid consumption, Cumulative fluid consumption calculated by weighing participant water intake at the start and end of each hour of exposure., End of heat exposure (hour 8)|Fluid loss, Fluid loss calculated as the change in body mass during each exposure presented as a percentage of baseline body mass (corrected for food consumption), End of heat exposure (hour 8)|Change in plasma volume, Change in plasma volume from baseline values calculated from duplicate measurements of hemoglobin and hematocrit at the start and end of each exposure using the technique by Dill and Costill., End of heat exposure (hour 8)|Thermal comfort scale (end-exposure), Thermal comfort assessed via a visual analog scale (""How comfortable does your body temperature feel?"") ranging from ""extremely uncomfortable"" to ""extremely comfortable""(midpoint: neutral)., End of heat exposure (hour 8)|Air movement scale (end-exposure), Perception of air movement assessed via a visual analog scale (""How do you feel about the air movement in this room?"") ranging from ""much too still"" to ""much too breezy"" (midpoint: neutral)., End of heat exposure (hour 8)",University of Ottawa,,ALL,OLDER_ADULT,NA,19,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: DOUBLE (PARTICIPANT, OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE",2022-12-01,2023-04-10,2023-04-10,2023-01-23,,2023-06-18,"University of Ottawa, Ottawa, Ontario, K1N6N5, Canada",
NCT02785679,The Influence of Early and Continuous Exposure of Infants to Cow's Milk Formula on the Prevention of Milk Allergy,https://clinicaltrials.gov/study/NCT02785679,,UNKNOWN,"Cow's milk protein (CMP) allergy is one of the most common food allergies and potentially a fatal one. Early feeding with CMP has been considered in the past as a risk factor for development of CMP allergy in high risk infants. Although other studies argue with this assumption and suggest early exposure to CMP might be protective against atopic dermatitis and CMP allergy. A cohort study that first introduction of CMP after 15-30 days of age, raised the risk for CMP allergy.The aim of this study is to investigate if early and continuous exposure to CMF will decrease CMP allergy rate.",NO,Cow Milk Allergy|Newborns,DIETARY_SUPPLEMENT: cow's milk formula,"The incidence of cow's milk allergy in the intervention groups, Measure the rate of cow's milk allergy infants in each group and compare the rate of allergy between the groups., 1 year",,Meir Medical Center,Schneider Children's Hospital,ALL,CHILD,NA,2500,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2018-03-20,2021-08-31,2021-12-31,2016-05-30,,2021-04-14,"Meir medical center, Kfar Saba, Israel",
NCT05472779,Periurethral vs Intravaginal Estrogen for Prevention of Recurrent Urinary Tract Infections,https://clinicaltrials.gov/study/NCT05472779,TAPER,RECRUITING,"Due to rising antibiotic resistance, there has been a focus on non-antibiotic prophylactic measures for postmenopausal patients with recurrent urinary tract infections (rUTI), one of which is the safe and efficacious option of vaginal estrogen therapy. Standard application of vaginal estrogen cream entails intravaginal application of the cream twice a week, but some providers counsel patients with rUTI to apply a small, pea-sized amount to the periurethral area. This ideally reduces the amount of vaginal estrogen used while attaining a similar effect. However, to date, there is no data to prove that the periurethral technique of application is similar or non-inferior to intravaginal application in preventing UTI.",NO,Recurrent Urinary Tract Infection,DRUG: Periurethral application of estradiol cream|DRUG: Intravaginal application of estradiol cream,"Percentage of participants who are UTI-free at 6 months, 6 months","Change from baseline in urinary symptoms at 6 months, Questionnaire assessment of urinary symptoms and symptom distress (Urogenital Distress Inventory, Short Form), total score range 0-100 with higher numbers representing worse urinary symptoms, Baseline, 6 months|Change from baseline in vaginal symptoms at 6 months, Questionnaire assessment of vaginal symptoms and bother using 5-point Likert scale, developed by research team, Baseline, 6 months|Change from baseline in sexual function at 6 months, Questionnaire assessment of sexual function (Female Sexual Function Index-6) with scores ranging from 2 to 30, with 19 and below denoting sexual dysfunction., Baseline, 6 months|Amount of estrogen cream used, Estradiol cream tubes will be weighed at each research visit in grams, 6 months|Participant experience with use of estrogen cream, Questionnaire assessment of patient experience using 5-point Likert and open-ended questions, developed by the research team, 6 months|Change from baseline in vaginal pH at 6 months, Assessment using pH strips during pelvic examination, Baseline, 6 months|Change from baseline in vaginal maturation index at 6 months, Assessment of vaginal cell types using a superficial swab, collected from proximal vagina, Baseline, 6 months|Change from baseline in Vaginal and urinary Lactobacillus levels at 6 months, Clean catch urine and vaginal swab sample collection with quantification of Lactobacillus, Baseline, 6 months|Change from baseline in Vaginal and urinary E. coli levels at 6 months, Clean catch urine and vaginal swab sample collection for quantification of E. coli, Baseline, 6 months",Stephanie Wang Zuo,,FEMALE,"ADULT, OLDER_ADULT",PHASE2,108,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: PREVENTION,2023-01-03,2024-07-31,2025-01-01,2022-07-25,,2024-01-09,"UPMC Lemieux Sports Complex, Cranberry Township, Pennsylvania, 16066, United States|UPMC Hamot, Erie, Pennsylvania, 16550, United States|University of Pittsburgh Medical Center-Magee Womens Hospital, Pittsburgh, Pennsylvania, 15213, United States|UPMC Passavant-McCandless, Pittsburgh, Pennsylvania, 15237, United States",
NCT04250779,Evaluating Efficacy of Smart Device in Assisting With Inhaler Technique and Adherence,https://clinicaltrials.gov/study/NCT04250779,MOMMIASTHMA1,UNKNOWN,"Asthma affects over 10 million children in the U.S., and poses a significant health and cost burden. Metered dose inhaler (MDI) is the most common method of treatment. Studies show that up to 80% of patients demonstrate incorrect use of MDIs, which results in suboptimal medication delivery to the lungs.

Asthma control can be followed by symptoms, rescue medication usage and measures of airflow obstruction. Current options to monitor control include an asthma diary (relies on consistent use by the patient), pharmacy records of medication dispensing (dispensing does not equal usage), and peak expiratory flow (PEF) meters (significant variability in technique leading to inconsistent results).

CapMedic is a smart inhaler and home spirometer device which aims to assist with correct MDI usage and to monitor asthma control. CapMedic fits on top of the MDI inhaler and provides live audio-visual-haptic cues to guide the patient for correctly using their inhaler. CapMedic includes a built-in forced expiratory flow in 1 second (FEV1, a measure of airflow) and PEF meter. It will utilize the same audio-visual-haptic hardware to implement live cues that encourage patient's effort in performing accurate at-home FEV1/PEF test. Cap will also be able to log medication usage and Medic application will allow patients to keep an asthma symptom diary.",NO,"Asthma|Adherence, Medication|Childhood Asthma",DEVICE: CapMedic smart inhaler device|BEHAVIORAL: Video-based guidance,"MDI use Competence in Clinic, Correctness of Inhaler Use measured using CapMedic device during recruitment. Competence is measured as a score out of 4 for 4 steps of MDI use: 1. Shaking, 2. Orientation, 3. Coordination 4. Duration of inhalation, 1 day|MDI use Competence at home, Correctness of Inhaler Use measured using CapMedic device at home. Competence is measured as a score out of 4 for 4 steps of MDI use: 1. Shaking, 2. Orientation, 3. Coordination 4. Duration of inhalation, 8 weeks","PEF Lung Function in Clinic, PEF measured using CapMedic device during recruitment. PEF is measured in L/min., 1 day|FEV1 Lung Function in Clinic, FEV1 measured using CapMedic device during recruitment. FEV1 is measured in L., 1 day|PEF Lung Function at home, PEF measured using CapMedic device at home. PEF is measured in L/min., 8 weeks|FEV1 Lung Function at home, FEV1 measured using CapMedic device at home. FEV1 is measured in L., 8 weeks|MDI use Adherence, Regularity of MDI use measured by CapMedic device at home, measured as a % of puffs taken per week compared to prescribed dosage., 8 weeks",Landon Pediatric Foundation,Cognita Labs LLC,ALL,"CHILD, ADULT, OLDER_ADULT",EARLY_PHASE1,50,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: SUPPORTIVE_CARE,2019-07-01,2021-07-01,2021-12-01,2020-01-31,,2020-09-16,"Pediatric Diagnostic Center, Ventura, California, 93003, United States",
NCT04252079,Endovascular Repair of Juxtarenal Aortic Aneurysm,https://clinicaltrials.gov/study/NCT04252079,,UNKNOWN,"The investigators compare different endovascular techniques as an alternative to surgical reconstruction to repair JAAS regarding ; success rates, 30-day mortality,endoleak events secondary intervention rates",NO,Juxtarenal Aortic Aneurysm,PROCEDURE: Endovascular Repair of Juxtarenal Aortic Aneurysm,"The primary outcome measure will be clinical success ., Clinical success will be evaluated by Measurment of blood pressure by sphygmomanometer in mmhg Serum creatinine level in mg/dL, One year|One year patency of the endovascular graft, One year patency will be assessed by CT angiography ( if it is patent or not).

CT angiography can detect successful deployment of the endovascular device at the intended location or post endograft complications as type I or III endoleak , graft thrombosis, aneurysm expansion , aneurysm rupture., One year",,Assiut University,,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2020-03-01,2021-03-01,2021-09-01,2020-02-05,,2020-02-05,,
